State,EV_2021,Total Sales_2021,EV Share_2021,EV_2020,Total Sales_2020,EV Share_2020,EV_2019,Total Sales_2019,EV Share_2019,EV_2018,Total Sales_2018,EV Share_2018,EV_2017,Total Sales_2017,EV Share_2017,EV_2016,Total Sales_2016,EV Share_2016
Maine,3000.0,1225800.0,0.24473813020068527,1900.0,1213100.0,0.15662352650234934,1300.0,1201200.0,0.10822510822510822,800.0,1193900.0,0.06700728704246586,500.0,1187400.0,0.042108809162876876,300.0,1168300.0,0.02567833604382436
Maryland,25600.0,5019100.0,0.5100516028770098,18000.0,4798000.0,0.3751563151313047,13200.0,4704800.0,0.28056452984186364,8400.0,4685700.0,0.17926883923426595,4400.0,4638500.0,0.09485825158995365,3200.0,4572300.0,0.06998665879316755
Massachusetts,30500.0,5392400.0,0.5656108597285068,21000.0,5352700.0,0.392325368505614,14100.0,5227400.0,0.2697325630332479,10300.0,5260600.0,0.19579515644603276,5600.0,5220400.0,0.10727147345031032,3600.0,5129000.0,0.07018912068629363
Michigan,17500.0,8346600.0,0.2096662113914648,10600.0,8422600.0,0.12585187471802056,6600.0,8483700.0,0.07779624456310336,4200.0,8627800.0,0.04867984886065973,2500.0,8625900.0,0.028982482987282485,1600.0,8377600.0,0.019098548510313215
Minnesota,15000.0,5179700.0,0.28959206131629245,10400.0,5156900.0,0.2016715468595474,7700.0,5135100.0,0.14994839438375104,4900.0,4969600.0,0.09859948486799743,2300.0,4773200.0,0.048185703511271265,1600.0,4742600.0,0.03373676886096234
Mississippi,1300.0,2719600.0,0.04780114722753346,800.0,2700700.0,0.029621949864849853,500.0,2649500.0,0.018871485185884128,300.0,2578600.0,0.01163422011944466,200.0,2560500.0,0.007810974419058777,100.0,2486200.0,0.004022202558120827
Missouri,10000.0,5517200.0,0.18125135938519538,6700.0,5502200.0,0.12176947402857038,4900.0,5687300.0,0.0861568758461836,3500.0,5719800.0,0.061190950732543097,2100.0,5675800.0,0.03699918954156242,1400.0,5470200.0,0.0255932141420789
Montana,1600.0,977400.0,0.16369961121342336,900.0,954000.0,0.09433962264150944,700.0,953300.0,0.07342914087905171,500.0,957600.0,0.052213868003341685,300.0,960500.0,0.031233732431025507,200.0,965500.0,0.020714655618850338
Nebraska,2700.0,1901400.0,0.14200063111391606,1800.0,1866200.0,0.09645268459972135,1300.0,1848700.0,0.07031968410234218,900.0,1832000.0,0.04912663755458515,500.0,1814500.0,0.02755580049600441,300.0,1782300.0,0.0168321831341525
Nevada,17400.0,2454600.0,0.7088731361525299,11000.0,2382400.0,0.46171927468099394,7900.0,2371700.0,0.3330944048572754,5100.0,2319600.0,0.21986549405069838,3100.0,2255700.0,0.13742962273351952,2000.0,2186600.0,0.0914662032379036
New Hampshire,4000.0,1365500.0,0.2929329915781765,2700.0,1362800.0,0.19812151452891105,1900.0,1352200.0,0.1405117586155894,1200.0,1329200.0,0.09027986758952754,600.0,1308900.0,0.045840018336007336,400.0,1290200.0,0.03100294527980158
New Jersey,47800.0,7057000.0,0.6773416465920363,30400.0,7033100.0,0.43224182792794075,20200.0,7191200.0,0.2808988764044944,13400.0,7100400.0,0.18872176215424483,6900.0,6861000.0,0.10056843025797989,4200.0,6678200.0,0.06289119822706718
New Mexico,4200.0,1878800.0,0.22354694485842028,2600.0,1835700.0,0.1416353434657079,1900.0,1825500.0,0.10408107367844426,1300.0,1796900.0,0.07234681952251099,700.0,1778500.0,0.03935901040202418,500.0,1636300.0,0.030556743873372854
New York,51900.0,11294600.0,0.4595116250243479,32600.0,11365300.0,0.28683800691578754,23000.0,11390000.0,0.2019315188762072,15500.0,11376600.0,0.1362445721920433,9400.0,11349400.0,0.08282376160854318,6100.0,11295000.0,0.054006197432492256
North Carolina,25200.0,8835800.0,0.2852033771701487,16200.0,8690300.0,0.18641473827140606,11600.0,8567000.0,0.13540329170071203,7300.0,8381700.0,0.08709450350167627,4400.0,8262400.0,0.05325329202168862,2900.0,8097400.0,0.035813964976412184
North Dakota,400.0,767800.0,0.05209690023443605,200.0,769100.0,0.02600442075152776,200.0,764800.0,0.02615062761506276,100.0,756600.0,0.013217023526301877,100.0,757400.0,0.013203063110641669,0.0,745300.0,0.0
Ohio,21200.0,10327400.0,0.20527916029203866,14500.0,10247500.0,0.14149792632349353,10200.0,10243800.0,0.09957242429567152,6400.0,10158200.0,0.06300328798409167,3700.0,10074800.0,0.036725294794933895,2600.0,9979600.0,0.026053148422782477
Oklahoma,7100.0,4075400.0,0.17421602787456447,3400.0,3941100.0,0.08627033061835528,3400.0,4085800.0,0.08321503744676685,3700.0,4061500.0,0.09109934753170011,1200.0,4084600.0,0.029378641727464135,600.0,4095200.0,0.014651299081851924
Oregon,30300.0,3720900.0,0.8143191163428203,22800.0,3610000.0,0.631578947368421,18800.0,3735000.0,0.5033467202141901,13800.0,3758000.0,0.3672166045769026,10000.0,3674100.0,0.27217549876160146,7700.0,3577600.0,0.21522808586762074
