Model Full,Displ,Cyl,Trans,Drive,Fuel,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2,Make,Model
PORSCHE Panamera 4S E-Hybrid,2.9,6,AMS-8,4WD,Gasoline/Electricity,large car,5,21/49,23/51,22/50,7,No,236,PORSCHE,Panamera 4S E-Hybrid
PORSCHE Panamera 4S Executive,2.9,6,AMS-8,4WD,Gasoline,large car,5,17,23,19,4,No,469,PORSCHE,Panamera 4S Executive
PORSCHE Panamera 4S ST,2.9,6,AMS-8,4WD,Gasoline,large car,5,17,23,19,4,No,469,PORSCHE,Panamera 4S ST
PORSCHE Panamera GTS,4,8,AMS-8,4WD,Gasoline,large car,3,15,21,17,3,No,520,PORSCHE,Panamera GTS
PORSCHE Panamera GTS ST,4,8,AMS-8,4WD,Gasoline,large car,3,15,20,17,3,No,520,PORSCHE,Panamera GTS ST
PORSCHE Panamera Turbo S,4,8,AMS-8,4WD,Gasoline,large car,3,15,21,17,3,No,525,PORSCHE,Panamera Turbo S
PORSCHE Panamera Turbo S E-Hybrid,4,8,AMS-8,4WD,Gasoline/Electricity,large car,3,18/45,22/51,19/48,6,No,274,PORSCHE,Panamera Turbo S E-Hybrid
RAM 1500,3,6,Auto-8,4WD,Diesel,pickup,1,21,29,24,4,No,418,RAM,1500
RAM 1500,3.6,6,Auto-8,2WD,Gasoline,pickup,7,20,25,22,5,No,407,RAM,1500
RAM 1500,3.6,6,Auto-8,4WD,Gasoline,pickup,7,19,24,21,4,No,417,RAM,1500
RAM 1500,5.7,8,Auto-8,2WD,Gasoline,pickup,5,18,23,20,4,No,443,RAM,1500
RAM 1500,5.7,8,Auto-8,4WD,Gasoline,pickup,5,17,22,19,4,No,457,RAM,1500
RAM 1500 Classic,3.6,6,Auto-8,2WD,Gasoline,pickup,7,17,25,20,4,No,444,RAM,1500 Classic
RAM 1500 Classic,3.6,6,Auto-8,4WD,Gasoline,pickup,7,16,23,19,4,No,474,RAM,1500 Classic
RAM 1500 Classic,5.7,8,Auto-8,2WD,Gasoline,pickup,5,15,21,17,3,No,523,RAM,1500 Classic
RAM 1500 Classic,5.7,8,Auto-8,4WD,Gasoline,pickup,5,15,20,17,3,No,528,RAM,1500 Classic
RAM 1500 HFE,3.6,6,Auto-8,2WD,Gasoline,pickup,7,20,26,23,5,No,394,RAM,1500 HFE
RAM 1500 TRX,6.2,8,Auto-8,4WD,Gasoline,pickup,1,10,14,12,1,No,748,RAM,1500 TRX
ROLLS-ROYCE Cullinan,6.7,12,SemiAuto-8,4WD,Gasoline,station wagon,3,12,19,14,2,No,626,ROLLS-ROYCE,Cullinan
ROLLS-ROYCE Cullinan Black Badge,6.7,12,SemiAuto-8,4WD,Gasoline,station wagon,3,12,19,14,2,No,626,ROLLS-ROYCE,Cullinan Black Badge
ROLLS-ROYCE Ghost,6.7,12,SemiAuto-8,4WD,Gasoline,large car,3,12,19,14,2,No,624,ROLLS-ROYCE,Ghost
ROLLS-ROYCE Ghost Black Badge,6.7,12,SemiAuto-8,4WD,Gasoline,large car,3,12,19,14,2,No,624,ROLLS-ROYCE,Ghost Black Badge
ROLLS-ROYCE Ghost Extended,6.7,12,SemiAuto-8,4WD,Gasoline,large car,3,12,19,14,2,No,624,ROLLS-ROYCE,Ghost Extended
ROLLS-ROYCE Phantom,6.7,12,SemiAuto-8,2WD,Gasoline,large car,3,12,18,14,2,No,639,ROLLS-ROYCE,Phantom
ROLLS-ROYCE Phantom Extended,6.7,12,SemiAuto-8,2WD,Gasoline,large car,3,12,18,14,2,No,639,ROLLS-ROYCE,Phantom Extended
SUBARU Ascent,2.4,4,SCV-8,4WD,Gasoline,standard SUV,5,20,26,22,5,No,398,SUBARU,Ascent
SUBARU Ascent Limited/Touring/Onyx,2.4,4,SCV-8,4WD,Gasoline,standard SUV,5,19,25,21,4,No,419,SUBARU,Ascent Limited/Touring/Onyx
SUBARU BRZ,2.4,4,Man-6,2WD,Gasoline,small car,3,20,27,22,5,No,398,SUBARU,BRZ
SUBARU BRZ,2.4,4,SemiAuto-6,2WD,Gasoline,small car,3,21,30,25,5,No,362,SUBARU,BRZ
SUBARU Crosstrek,2,4,Man-6,4WD,Gasoline,small SUV,7,22,29,25,5,No,355,SUBARU,Crosstrek
SUBARU Crosstrek,2,4,SCV-8,4WD,Gasoline,small SUV,7,28,33,30,6,No,297,SUBARU,Crosstrek
SUBARU Crosstrek,2.5,4,SCV-8,4WD,Gasoline,small SUV,7,27,34,29,6,No,303,SUBARU,Crosstrek
SUBARU Crosstrek Hybrid,2,4,CVT,4WD,Gasoline/Electricity,small SUV,7,36/99,35/80,35/90,9,Yes,151,SUBARU,Crosstrek Hybrid
SUBARU Forester,2.5,4,SCV-7,4WD,Gasoline,small SUV,7,26,33,29,6,No,310,SUBARU,Forester
SUBARU Forester Wilderness,2.5,4,SCV-8,4WD,Gasoline,small SUV,7,25,28,26,5,No,338,SUBARU,Forester Wilderness
SUBARU Impreza,2,4,Man-5,4WD,Gasoline,midsize car,7,23,31,26,5,No,337,SUBARU,Impreza
SUBARU Impreza,2,4,Man-5,4WD,Gasoline,station wagon,7,24,31,26,5,No,335,SUBARU,Impreza
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,midsize car,7,28,36,32,6,No,280,SUBARU,Impreza
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,station wagon,7,28,36,31,6,No,285,SUBARU,Impreza
SUBARU Impreza 4-Door Sport,2,4,SCV-7,4WD,Gasoline,midsize car,7,27,36,30,6,No,291,SUBARU,Impreza 4-Door Sport
SUBARU Impreza 5-Door Sport,2,4,Man-5,4WD,Gasoline,station wagon,7,22,30,25,5,No,351,SUBARU,Impreza 5-Door Sport
SUBARU Impreza 5-Door Sport,2,4,SCV-7,4WD,Gasoline,station wagon,7,27,35,30,6,No,292,SUBARU,Impreza 5-Door Sport
SUBARU Legacy,2.5,4,SCV-8,4WD,Gasoline,large car,7,27,35,30,6,No,295,SUBARU,Legacy
SUBARU Legacy,2.4,4,SCV-8,4WD,Gasoline,large car,6,23,31,26,5,No,337,SUBARU,Legacy
SUBARU Outback AWD,2.5,4,SCV-8,4WD,Gasoline,small SUV,7,26,32,28,6,No,314,SUBARU,Outback AWD
SUBARU Outback AWD,2.4,4,SCV-8,4WD,Gasoline,small SUV,6,22,29,25,5,No,356,SUBARU,Outback AWD
SUBARU Outback Wilderness,2.4,4,SCV-8,4WD,Gasoline,small SUV,6,21,26,23,5,No,378,SUBARU,Outback Wilderness
SUBARU WRX,2.4,4,Man-6,4WD,Gasoline,midsize car,3,19,26,22,5,No,407,SUBARU,WRX
SUBARU WRX,2.4,4,SCV-8,4WD,Gasoline,midsize car,3,19,25,21,4,No,419,SUBARU,WRX
TOYOTA 4Runner,4,6,SemiAuto-5,2WD,Gasoline,standard SUV,5,16,19,17,3,No,503,TOYOTA,4Runner
TOYOTA 4Runner,4,6,SemiAuto-5,4WD,Gasoline,standard SUV,5,16,19,17,3,No,515,TOYOTA,4Runner
TOYOTA 4Runner,4,6,SemiAuto-5,4WD,Gasoline,standard SUV,5,16,19,17,3,No,519,TOYOTA,4Runner
TOYOTA Camry,3.5,6,SemiAuto-8,2WD,Gasoline,midsize car,5,22,33,26,5,No,338,TOYOTA,Camry
TOYOTA Camry Hybrid LE,2.5,4,SCV-6,2WD,Gasoline,midsize car,7,51,53,52,9,Yes,170,TOYOTA,Camry Hybrid LE
TOYOTA Camry Hybrid SE/XLE/XSE,2.5,4,SCV-6,2WD,Gasoline,midsize car,7,44,47,46,8,Yes,195,TOYOTA,Camry Hybrid SE/XLE/XSE
TOYOTA Camry LE/SE,2.5,4,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,6,No,280,TOYOTA,Camry LE/SE
TOYOTA Camry LE/SE,2.5,4,SemiAuto-8,4WD,Gasoline,midsize car,6,25,34,29,6,No,310,TOYOTA,Camry LE/SE
TOYOTA Camry TRD,3.5,6,SemiAuto-8,2WD,Gasoline,midsize car,5,22,31,25,5,No,354,TOYOTA,Camry TRD
TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,2WD,Gasoline,midsize car,7,27,38,31,6,No,286,TOYOTA,Camry XLE/XSE
TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,4WD,Gasoline,midsize car,6,25,34,28,6,No,315,TOYOTA,Camry XLE/XSE
TOYOTA Camry XSE,3.5,6,SemiAuto-8,2WD,Gasoline,midsize car,5,22,32,26,5,No,345,TOYOTA,Camry XSE
TOYOTA Corolla,2,4,SCV-10,2WD,Gasoline,small car,7,31,40,34,7,Yes,258,TOYOTA,Corolla
TOYOTA Corolla,2,4,SCV-10,2WD,Gasoline,small car,7,32,41,35,7,Yes,254,TOYOTA,Corolla
TOYOTA Corolla Cross,2,4,SCV-10,2WD,Gasoline,small SUV,7,31,33,32,6,No,275,TOYOTA,Corolla Cross
TOYOTA Corolla Cross,2,4,SCV-10,4WD,Gasoline,small SUV,7,29,32,30,6,No,293,TOYOTA,Corolla Cross
TOYOTA Corolla Hatchback,2,4,SCV-10,2WD,Gasoline,small car,7,32,41,35,7,Yes,252,TOYOTA,Corolla Hatchback
TOYOTA Corolla Hatchback XSE,2,4,SCV-10,2WD,Gasoline,small car,7,30,38,33,6,No,266,TOYOTA,Corolla Hatchback XSE
TOYOTA Corolla Hybrid,1.8,4,CVT,2WD,Gasoline,small car,7,50,43,47,8,Yes,186,TOYOTA,Corolla Hybrid
TOYOTA Corolla Hybrid,1.8,4,CVT,2WD,Gasoline,small car,7,53,46,50,8,Yes,178,TOYOTA,Corolla Hybrid
TOYOTA Corolla Hybrid,1.8,4,CVT,4WD,Gasoline,small car,7,47,41,44,8,Yes,199,TOYOTA,Corolla Hybrid
TOYOTA Corolla Hybrid,1.8,4,CVT,4WD,Gasoline,small car,7,51,44,48,8,Yes,189,TOYOTA,Corolla Hybrid
TOYOTA GR Corolla,1.6,3,Man-6,4WD,Gasoline,small car,5,21,28,24,5,No,368,TOYOTA,GR Corolla
TOYOTA GR86,2.4,4,Man-6,2WD,Gasoline,small car,3,20,27,22,5,No,397,TOYOTA,GR86
TOYOTA GR86,2.4,4,SemiAuto-6,2WD,Gasoline,small car,3,21,31,25,5,No,360,TOYOTA,GR86
TOYOTA Highlander,2.4,4,SemiAuto-8,2WD,Gasoline,small SUV,7,21,28,24,5,No,370,TOYOTA,Highlander
TOYOTA Highlander,2.4,4,SemiAuto-8,2WD,Gasoline,small SUV,7,22,29,25,5,No,359,TOYOTA,Highlander
