Make,Model,Type,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (MPG),Fuel Consumption Hwy (MPG),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/m)
AUDI,Q5 HYBRID,SUV,2.0,4,AS8,Z,23.759090909090908,28.33915662650602,9.2,31,341.18008
AUDI,Q7,SUV,3.0,6,AS8,Z,15.577152317880795,21.579357798165137,13.2,21,489.23936
AUDI,Q7 TDI (modified),SUV,3.0,6,AS8,D,18.968951612903226,27.036206896551725,10.7,26,466.7086
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,13.364488636363635,21.383181818181818,14.6,19,540.73824
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,11.095047169811322,17.553358208955224,17.7,16,655.00138
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,12.9239010989011,22.190094339622643,14.8,19,558.44098
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,11.147630331753554,17.044565217391305,17.8,16,658.22006
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,13.364488636363635,21.383181818181818,14.6,19,540.73824
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,11.095047169811322,17.553358208955224,17.7,16,655.00138
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,12.9239010989011,22.190094339622643,14.8,19,558.44098
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,11.147630331753554,17.044565217391305,17.8,16,658.22006
AUDI,RS 5,COMPACT,4.2,8,A7,Z,15.373529411764705,21.579357798165137,13.3,21,492.45804
AUDI,RS 5 CABRIOLET,COMPACT,4.2,8,A7,Z,15.47467105263158,20.815486725663717,13.4,21,495.67672
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,15.175161290322581,26.72897727272727,12.5,23,471.53661999999997
AUDI,S4,COMPACT,3.0,6,A7,Z,17.819318181818183,25.56684782608696,11.4,25,421.64708
AUDI,S4,COMPACT,3.0,6,M6,Z,16.110616438356164,24.001530612244895,12.4,23,458.6619
AUDI,S5,COMPACT,3.0,6,A7,Z,17.819318181818183,25.56684782608696,11.4,25,421.64708
AUDI,S5,COMPACT,3.0,6,M6,Z,16.110616438356164,24.001530612244895,12.4,23,458.6619
AUDI,S5 CABRIOLET,COMPACT,3.0,6,A7,Z,17.68533834586466,24.759473684210526,11.6,24,429.69378
AUDI,S6,MID-SIZE,4.0,8,A7,Z,16.56443661971831,24.24896907216495,12.2,23,452.22454
AUDI,S7,MID-SIZE,4.0,8,A7,Z,16.56443661971831,24.24896907216495,12.2,23,452.22454
AUDI,S8,MID-SIZE,4.0,8,AS8,Z,14.887025316455695,25.56684782608696,12.8,22,482.802
AUDI,SQ5,SUV,3.0,6,AS8,Z,15.786241610738255,23.28861386138614,12.7,22,469.92728
AUDI,TT COUPE QUATTRO,COMPACT,2.0,4,A6,Z,22.61682692307692,30.94934210526316,9.1,31,336.35206
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,22.61682692307692,30.94934210526316,9.1,31,336.35206
AUDI,TTS COUPE QUATTRO,COMPACT,2.0,4,A6,Z,20.453478260869566,26.72897727272727,10.3,27,381.41358
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,20.453478260869566,26.72897727272727,10.3,27,381.41358
BENTLEY,CONTINENTAL GT,COMPACT,4.0,8,AS8,Z,14.430368098159509,24.001530612244895,13.4,21,505.33276
BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS8,Z,12.511436170212766,20.453478260869566,15.5,18,572.92504
BENTLEY,CONTINENTAL GTC,COMPACT,4.0,8,AS8,Z,13.518103448275863,23.06029411764706,14.2,20,534.30088
BENTLEY,CONTINENTAL GTC,COMPACT,6.0,12,AS8,Z,11.76075,19.279918032786888,16.5,17,611.5492
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,COMPACT,6.0,12,AS8,Z,11.76075,19.279918032786888,16.5,17,611.5492
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,11.586945812807881,19.76596638655462,16.5,17,624.42392
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,10.547757847533632,15.786241610738255,19.0,15,703.28158
BMW,320i,COMPACT,2.0,4,A8,Z,23.5215,36.18692307692308,8.4,34,310.60262
BMW,320i,COMPACT,2.0,4,M6,Z,22.61682692307692,35.10671641791045,8.7,32,321.868
BMW,320i xDRIVE,COMPACT,2.0,4,A8,Z,23.06029411764706,33.60214285714286,8.8,32,325.08668
BMW,328d xDRIVE,COMPACT,2.0,4,A8,D,30.94934210526316,42.766363636363636,6.7,42,291.29054
BMW,328d xDRIVE TOURING,SUV,2.0,4,A8,D,30.94934210526316,42.766363636363636,6.7,42,291.29054
BMW,328i,COMPACT,2.0,4,A8,Z,23.5215,36.18692307692308,8.4,34,310.60262
BMW,328i,COMPACT,2.0,4,M6,Z,22.61682692307692,35.10671641791045,8.7,32,321.868
BMW,328i xDRIVE,COMPACT,2.0,4,A8,Z,22.190094339622643,32.66875,9.1,31,336.35206
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Z,22.190094339622643,32.66875,9.1,31,336.35206
BMW,328i xDRIVE TOURING,SUV,2.0,4,A8,Z,22.190094339622643,32.66875,9.1,31,336.35206
BMW,335i,COMPACT,3.0,6,A8,Z,20.632894736842104,32.22123287671233,9.6,29,355.66414
BMW,335i,COMPACT,3.0,6,M6,Z,19.933474576271184,29.77405063291139,10.0,28,370.1482
BMW,335i xDRIVE,COMPACT,3.0,6,A8,Z,20.103846153846156,30.15576923076923,9.9,29,366.92952
BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,19.76596638655462,28.33915662650602,10.3,27,381.41358
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,19.76596638655462,29.401875,10.1,28,373.36688
BMW,428i COUPE,COMPACT,2.0,4,A8,Z,23.5215,36.18692307692308,8.4,34,310.60262
BMW,428i COUPE,COMPACT,2.0,4,M6,Z,22.61682692307692,35.10671641791045,8.7,32,321.868
BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Z,22.190094339622643,32.66875,9.1,31,336.35206
BMW,435i COUPE,COMPACT,3.0,6,A8,Z,20.632894736842104,32.22123287671233,9.6,29,355.66414
BMW,435i COUPE,COMPACT,3.0,6,M6,Z,19.933474576271184,29.77405063291139,10.0,28,370.1482
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,20.103846153846156,30.15576923076923,9.9,29,366.92952
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,19.76596638655462,28.33915662650602,10.3,27,381.41358
BMW,528i,MID-SIZE,2.0,4,A8,Z,23.06029411764706,33.60214285714286,8.8,32,325.08668
