Type,Fuel Consumption Comb (mpg),CO2 Emissions(g/m),Car Technology
TRUCK,18,589.0184399999999,TV
TRUCK,20,510.16078,TV
TRUCK,21,495.67672,TV
TRUCK,16,646.95468,TV
TRUCK,23,455.44322,TV
TRUCK,17,424.86576,TV
TRUCK,23,455.44322,TV
TRUCK,17,424.86576,TV
TRUCK,19,540.73824,TV
TRUCK,14,506.9421,TV
TRUCK,19,540.73824,TV
TRUCK,14,506.9421,TV
TRUCK,21,495.67672,TV
TRUCK,16,463.48992,TV
TRUCK,21,495.67672,TV
TRUCK,16,463.48992,TV
TRUCK,19,552.00362,TV
TRUCK,14,514.9888,TV
TRUCK,19,547.1756,TV
TRUCK,14,511.77012,TV
TRUCK,16,666.26676,TV
COMPACT,37,281.6345,TV
COMPACT,37,281.6345,TV
COMPACT,43,244.61968,TV
COMPACT,40,259.10374,TV
COMPACT,35,296.11856,TV
SUV,25,424.86576,TV
SUV,23,447.39652,TV
SUV,22,473.14596,TV
COMPACT,32,329.9147,TV
COMPACT,37,284.85318,TV
COMPACT,27,265.5411,TV
COMPACT,36,288.07186,TV
COMPACT,27,265.5411,TV
COMPACT,35,296.11856,TV
COMPACT,27,273.5878,TV
COMPACT,39,267.15044,TV
COMPACT,28,260.71308,TV
MID-SIZE,33,315.43064,TV
MID-SIZE,35,299.33724,TV
MID-SIZE,31,333.13338,TV
MID-SIZE,32,329.9147,TV
MID-SIZE,35,299.33724,TV
MID-SIZE,30,347.61744,TV
MID-SIZE,51,202.77684,TV
COMPACT,28,378.1949,TV
COMPACT,27,392.67896,TV
COMPACT,25,424.86576,TV
COMPACT,22,469.92728,TV
COMPACT,21,489.23936,TV
COMPACT,27,392.67896,TV
FULL-SIZE,31,336.35206,TV
FULL-SIZE,24,436.13114,TV
FULL-SIZE,27,381.41358,TV
FULL-SIZE,20,368.53886,TV
FULL-SIZE,25,415.20972,TV
FULL-SIZE,18,403.94434,TV
SPECIAL PURPOSE VEHICLE,30,350.83612,TV
SPECIAL PURPOSE VEHICLE,29,366.92952,TV
SPECIAL PURPOSE VEHICLE,28,373.36688,TV
SPECIAL PURPOSE VEHICLE,27,384.63226,TV
SUV,23,455.44322,TV
SUV,22,477.97398,TV
VAN,19,558.44098,TV
VAN,18,589.0184399999999,TV
VAN,14,537.51956,TV
VAN,17,611.5492,TV
VAN,13,553.61296,TV
VAN,17,611.5492,TV
VAN,13,553.61296,TV
VAN,17,611.5492,TV
VAN,12,582.58108,TV
VAN,17,611.5492,TV
VAN,13,553.61296,TV
VAN,17,611.5492,TV
VAN,12,582.58108,TV
VAN,16,666.26676,TV
VAN,15,695.23488,TV
VAN,11,661.43874,TV
VAN,16,674.31346,TV
VAN,15,700.0629,TV
VAN,11,664.65742,TV
TRUCK,24,436.13114,TV
TRUCK,17,432.91246,TV
TRUCK,22,469.92728,TV
TRUCK,17,434.5218,TV
TRUCK,20,521.42616,TV
TRUCK,22,466.7086,TV
TRUCK,16,458.6619,TV
TRUCK,22,481.19266,TV
TRUCK,16,445.78718,TV
TRUCK,20,529.47286,TV
SUV,31,336.35206,TV
SUV,24,444.17784,TV
SUV,17,416.81906,TV
SUV,28,370.1482,TV
SUV,22,466.7086,TV
SUV,17,437.74048,TV
SUV,20,510.16078,TV
SUV,15,473.14596,TV
SUV,20,510.16078,TV
SUV,15,473.14596,TV
SUV,19,543.95692,TV
SUV,14,518.20748,TV
SUV,17,606.72118,TV
SUV,13,569.70636,TV
SUV,20,510.16078,TV
SUV,15,473.14596,TV
SUV,20,510.16078,TV
SUV,15,473.14596,TV
MID-SIZE,36,292.89988,TV
MID-SIZE,35,299.33724,TV
MID-SIZE,32,321.868,TV
MID-SIZE,31,336.35206,TV
MID-SIZE,29,355.66414,TV
MID-SIZE,26,403.94434,TV
MID-SIZE,59,177.0274,TV
COMPACT,40,259.10374,TV
COMPACT,39,267.15044,TV
COMPACT,37,281.6345,TV
SUV,26,395.89764,TV
SUV,31,336.35206,TV
SUV,30,347.61744,TV
TWO-SEATER,45,233.3543,TV
TWO-SEATER,41,255.88506,TV
SUV,38,276.80648,TV
SUV,37,284.85318,TV
VAN,27,392.67896,TV
SUV,25,426.4751,TV
SUV,24,444.17784,TV
TRUCK,21,495.67672,TV
COMPACT,37,284.85318,TV
COMPACT,37,284.85318,TV
MID-SIZE,33,318.64932,TV
MID-SIZE,33,315.43064,TV
FULL-SIZE,21,489.23936,TV
FULL-SIZE,25,410.3817,TV
SUV,25,415.20972,TV
SUV,24,429.69378,TV
SUV,27,381.41358,TV
SUV,25,424.86576,TV
SUV,25,410.3817,TV
FULL-SIZE,29,355.66414,TV
FULL-SIZE,33,315.43064,TV
MID-SIZE,46,230.13562,TV
MID-SIZE,45,233.3543,TV
SUV,30,344.39876,TV
SUV,28,373.36688,TV
SUV,28,370.1482,TV
SUV,27,389.46028,TV
SUV,27,392.67896,TV
